sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
26656;SDS011;14279;50.010;8.260;2023-03-11T00:00:26;1.50;;;1.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:02:53;2.30;;;1.20;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:05:21;1.50;;;0.90;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:07:48;1.50;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:10:15;1.40;;;1.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:12:42;1.40;;;1.30;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:15:08;1.27;;;1.17;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:17:33;2.30;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:19:58;1.53;;;1.23;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:22:24;3.17;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:24:49;2.73;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:27:14;3.70;;;1.57;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:29:39;6.73;;;1.30;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:32:05;1.70;;;1.03;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:34:30;2.03;;;1.13;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:36:55;2.20;;;1.20;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:39:20;2.40;;;1.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:41:47;3.50;;;1.30;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:44:12;7.43;;;1.60;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:46:37;10.37;;;1.43;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:49:02;3.63;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:51:28;2.03;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:53:53;15.60;;;1.50;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:56:21;3.67;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T00:58:46;6.13;;;1.43;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:01:13;1.37;;;1.13;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:03:40;1.37;;;1.03;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:06:06;2.90;;;1.50;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:08:32;2.30;;;1.30;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:10:57;5.20;;;1.30;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:13:23;1.63;;;1.33;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:15:49;5.50;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:18:14;3.33;;;1.77;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:20:40;2.83;;;1.60;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:23:06;1.90;;;1.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:25:32;4.00;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:27:58;3.90;;;1.30;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:30:23;2.83;;;1.60;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:32:50;7.73;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:35:17;3.23;;;1.30;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:37:43;1.43;;;1.33;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:40:13;3.43;;;1.43;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:42:45;1.43;;;1.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:46:04;4.93;;;2.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:48:01;2.27;;;1.37;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:50:28;2.83;;;1.53;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:52:58;5.03;;;1.73;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:55:23;3.30;;;1.60;;
26656;SDS011;14279;50.010;8.260;2023-03-11T01:57:49;4.47;;;1.50;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:00:15;3.67;;;1.37;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:02:42;3.50;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:05:11;2.60;;;1.43;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:07:38;6.70;;;1.67;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:10:04;7.13;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:12:32;7.80;;;1.33;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:14:59;2.33;;;1.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:17:25;6.30;;;1.60;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:19:55;4.20;;;1.57;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:22:42;3.93;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:27:58;7.00;;;2.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:30:25;9.00;;;1.50;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:32:52;2.50;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:35:19;4.27;;;1.53;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:37:45;5.63;;;1.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:42:58;2.37;;;1.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:45:26;5.00;;;2.23;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:47:54;7.63;;;1.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:50:21;7.23;;;1.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:52:47;3.83;;;1.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:55:13;2.80;;;1.93;;
26656;SDS011;14279;50.010;8.260;2023-03-11T02:57:40;7.37;;;2.37;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:00:06;5.17;;;2.00;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:02:39;4.73;;;2.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:05:04;5.33;;;1.37;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:07:31;6.83;;;1.77;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:09:56;4.53;;;1.47;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:12:21;3.70;;;1.80;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:14:47;7.80;;;2.37;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:17:12;5.70;;;1.97;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:19:37;7.37;;;2.03;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:22:02;1.83;;;1.67;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:24:28;8.77;;;2.77;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:26:53;4.80;;;1.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:29:18;5.37;;;1.63;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:31:43;6.27;;;2.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:34:08;4.07;;;1.83;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:36:34;8.63;;;1.73;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:38:59;6.77;;;1.90;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:41:25;6.57;;;1.80;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:43:51;4.33;;;1.57;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:46:17;3.30;;;1.60;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:48:42;5.90;;;1.80;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:51:08;5.47;;;2.03;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:53:35;6.90;;;2.03;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:56:02;3.17;;;1.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T03:58:28;5.63;;;2.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:00:54;4.73;;;2.20;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:03:21;4.30;;;1.77;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:05:46;5.43;;;2.50;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:08:11;8.67;;;1.97;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:10:36;4.63;;;2.00;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:13:01;4.93;;;2.23;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:15:27;2.20;;;2.00;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:17:52;10.13;;;2.47;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:20:17;8.27;;;2.30;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:22:43;4.97;;;2.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:25:08;7.87;;;2.20;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:27:33;3.73;;;2.00;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:29:58;3.90;;;2.03;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:32:24;11.17;;;2.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:34:49;6.23;;;1.80;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:37:14;9.47;;;2.57;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:39:40;4.13;;;2.23;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:42:05;9.07;;;2.67;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:44:30;7.93;;;2.33;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:46:56;7.20;;;2.00;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:49:21;9.23;;;2.17;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:51:46;8.73;;;2.80;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:54:11;8.80;;;2.30;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:56:37;8.50;;;2.50;;
26656;SDS011;14279;50.010;8.260;2023-03-11T04:59:02;7.97;;;2.80;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:01:27;19.47;;;3.07;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:03:52;10.20;;;2.23;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:06:18;7.60;;;2.63;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:08:43;6.70;;;2.67;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:11:08;11.13;;;2.97;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:13:34;5.47;;;2.43;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:15:59;7.50;;;2.77;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:18:24;6.50;;;2.47;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:20:50;27.77;;;2.97;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:23:15;6.07;;;2.00;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:25:40;6.10;;;2.27;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:28:05;12.63;;;2.53;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:30:31;12.07;;;2.90;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:32:56;6.40;;;2.73;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:35:21;7.83;;;3.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:37:47;5.40;;;2.33;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:40:14;8.37;;;2.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:42:40;5.40;;;1.73;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:45:05;3.60;;;2.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:47:31;6.90;;;2.07;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:49:57;8.23;;;2.30;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:52:22;5.47;;;1.87;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:54:48;6.47;;;2.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:57:14;6.73;;;1.97;;
26656;SDS011;14279;50.010;8.260;2023-03-11T05:59:39;9.93;;;1.90;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:02:05;14.67;;;2.47;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:04:30;7.27;;;2.67;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:06:56;7.63;;;2.00;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:09:21;7.60;;;2.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:11:46;6.93;;;2.20;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:14:12;11.20;;;2.13;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:16:38;5.23;;;1.93;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:19:04;7.40;;;2.43;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:21:30;9.60;;;2.03;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:23:55;7.80;;;2.50;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:26:21;7.10;;;2.33;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:28:47;3.23;;;1.67;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:31:14;6.47;;;1.90;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:33:41;13.90;;;2.50;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:36:07;14.43;;;1.87;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:38:33;9.17;;;2.47;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:41:02;6.83;;;2.20;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:43:28;3.60;;;1.90;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:45:55;15.63;;;2.20;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:48:20;3.90;;;1.53;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:50:53;13.20;;;2.57;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:53:19;11.63;;;2.37;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:55:44;4.87;;;1.73;;
26656;SDS011;14279;50.010;8.260;2023-03-11T06:58:09;12.07;;;1.67;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:00:35;6.77;;;1.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:03:00;4.70;;;2.10;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:05:25;5.30;;;1.83;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:07:54;4.80;;;1.77;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:10:19;7.37;;;1.77;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:12:45;17.83;;;2.40;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:15:10;3.63;;;1.70;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:17:35;8.57;;;2.20;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:20:01;10.27;;;2.87;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:22:26;8.70;;;2.33;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:24:51;4.43;;;2.27;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:27:17;11.03;;;2.50;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:29:46;9.67;;;2.00;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:32:11;6.87;;;2.60;;
26656;SDS011;14279;50.010;8.260;2023-03-11T07:34:36;7.30;;;2.37;;
