sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
23712;SDS011;12035;49.978;8.298;2020-12-08T00:04:02;12.82;;;7.78;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:08:59;10.63;;;7.18;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:13:56;12.65;;;8.32;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:18:53;15.93;;;8.90;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:23:49;11.88;;;8.13;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:28:45;14.02;;;9.07;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:33:43;13.20;;;7.80;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:38:39;11.13;;;6.60;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:43:36;13.05;;;8.25;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:48:32;12.48;;;7.68;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:53:29;12.43;;;7.85;;
23712;SDS011;12035;49.978;8.298;2020-12-08T00:58:26;13.48;;;7.35;;
23712;SDS011;12035;49.978;8.298;2020-12-08T01:08:19;13.85;;;7.35;;
23712;SDS011;12035;49.978;8.298;2020-12-08T01:13:16;14.68;;;7.80;;
23712;SDS011;12035;49.978;8.298;2020-12-08T01:18:13;13.85;;;8.35;;
23712;SDS011;12035;49.978;8.298;2020-12-08T01:28:06;9.43;;;6.53;;
23712;SDS011;12035;49.978;8.298;2020-12-08T01:33:04;12.30;;;7.95;;
23712;SDS011;12035;49.978;8.298;2020-12-08T01:38:00;11.43;;;7.85;;
23712;SDS011;12035;49.978;8.298;2020-12-08T01:42:57;12.10;;;7.28;;
23712;SDS011;12035;49.978;8.298;2020-12-08T01:47:53;13.48;;;7.65;;
23712;SDS011;12035;49.978;8.298;2020-12-08T01:52:53;11.65;;;7.15;;
23712;SDS011;12035;49.978;8.298;2020-12-08T01:57:51;12.68;;;8.10;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:02:48;11.02;;;7.25;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:07:44;12.35;;;7.68;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:12:42;11.80;;;7.25;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:17:41;11.80;;;7.70;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:22:40;14.85;;;8.88;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:27:37;11.60;;;7.93;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:32:34;11.68;;;8.02;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:37:30;13.20;;;7.93;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:42:28;12.07;;;8.20;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:47:25;12.55;;;7.97;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:52:21;11.98;;;8.02;;
23712;SDS011;12035;49.978;8.298;2020-12-08T02:57:18;12.73;;;8.68;;
23712;SDS011;12035;49.978;8.298;2020-12-08T03:02:15;11.70;;;8.15;;
23712;SDS011;12035;49.978;8.298;2020-12-08T03:07:11;10.20;;;7.00;;
